volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
nyp.33433074968417,1922,1922,1873,1922,m,us,14.325461689068627,0.9604042336846222,1,1,"Dougherty, Harry V.",Well-- who killed him?,locdetmyst | teamred
24690,1998,1998,1960,1998,f,us,11.784375436301623,0.172284255121131,0,1,"Hopkinson, Nalo,",Brown girl in the ring,chirandom | chiscifi
20390,1959,1959,1903,1959,f,us,14.518786682194005,0.023547275519061675,0,1,"Nin, Anais,",Children of the albatross,chirandom | teamred
nyp.33433074870266,1859,1859,0,1859,m,uk,19.80422328273943,0.7471837133398326,1,1,"Hamel, Felix John.","Harry Roughton, or, Remin",locdetmyst | teamblack
10286,1928,1928,1888,1928,m,us,14.348954481928025,0.8040431043064197,1,1,"Esteven, John,",The door of death,teamblack | chimyst
10292,1928,1928,1890,1928,m,us,13.488302184725672,0.8798876135801001,1,1,"Keeler, Harry Stephen,",Sing Sing nights,teamred | chimyst
24651,1998,1998,1969,1998,f,us,12.459501721201008,0.028361881337154508,0,1,"Danticat, Edwidge,",The farming of bones,chirandom
22787,1987,1987,1943,1987,m,us,11.862203834499136,0.03708285619139462,0,1,"Swift, Edward,",A place with promise,chirandom | teamred
njp.32101067707909,1874,1874,1834,1874,m,us,15.057849950561309,0.09528883143202611,0,1,"Benedict, Frank Lee,",John Worthington's name,random | teamred
22803,1987,1987,1953,1987,m,us,11.773907693949468,0.36955114517871784,0,1,"Williams, Walter Jon,",Voice of the whirlwind,chirandom | teamblack | chiscifi
21488,1978,1978,1927,1978,m,us,12.605758181376002,0.0955600417877563,0,1,"Adler, Warren,",The Casanova embrace,chirandom | teamblack
11013,1950,1950,1912,1950,m,us,12.287371369656078,0.8838210201674194,0,1,"Van Vogt, A. E. 1912-2000",The house that stood stil,chirandom | teamblack | chiscifi
11007,1950,1950,1904,1950,f,us,12.547438847869607,0.2081628104551204,0,1,"Seton, Anya,",Foxfire,chirandom | teamblack
24094,1994,1994,1953,1994,f,us,12.79580905268798,0.1696316535217294,0,1,"Pelletier, Cathie,",A marriage made at Woodstock,chirandom
23062,1989,1989,1953,1989,m,us,10.694549008865568,0.8638718026169901,1,1,"Crais, Robert,",Stalking the angel,teamred | chimyst
20219,1956,1956,1890,1956,f,us,10.73856943286809,0.9097335832043145,1,1,"Crane, Frances,",Horror on the Ruby X,teamblack | chimyst
22340,1985,1985,1947,1985,m,us,12.232098500779873,0.11364588536519471,0,1,"Effinger, George Alec,",The nick of time,chirandom | teamblack | chiscifi | stew
10494,1936,1936,1906,1936,m,us,10.651759169619673,0.9516600475961419,1,1,"Latimer, Jonathan,",Murder in the madhouse,teamblack | chimyst
20218,1956,1956,1901,1956,m,us,11.835795260055944,0.9151915658881364,1,1,"Coxe, George Harmon,",Man on a rope,teamblack | chimyst
10330,1930,1930,1894,1930,m,us,11.645265810808217,0.9153253824693138,1,1,"Hammett, Dashiell,",The Maltese falcon,chimyst | hardboiled | teamblack | det100
uc2.ark+=13960=t53f4nk4h,1916,1916,1858,1916,f,us,14.511595800977085,0.16547083017649417,0,1,"Winterburn, Florence Hull",Liberty hall,random | teamred
20026,1951,1951,1910,1951,m,us,13.157851965245033,0.41760362698560505,0,1,"Merwin, Sam,",The house of many worlds,chirandom | teamred | chiscifi
20032,1951,1951,1918,1951,m,us,9.733593812612078,0.8429789937023443,1,1,"Spillane, Mickey,",The big kill,hardboiled | teamred | chimyst
uiuo.ark+=13960=t3223k32d,1868,1869,1830,1868,m,uk,12.472716344261507,0.7821502381251499,1,1,"Speight, T. W.",Under lock and key; a sto,teamblack | stew | det100
mdp.39015010776881,1918,1918,1869,1918,m,us,13.279294928706632,0.7884050903066403,1,1,"Post, Melville Davisson,","Uncle Abner, master of my",teamblack | stew | det100
uc2.ark+=13960=t3125st2r,1917,1917,1889,1917,f,au,12.45937715920002,0.13830468166375262,0,1,"Kerr, Doris Boake,",Painted clay,random | teamred
20620,1965,1965,0,1965,m,guyana,12.394191703600992,0.47038239845049223,0,1,"Braithwaite, E. R.  (Edwa",Choice of straws,chirandom | teamblack
uc2.ark+=13960=t9668pw05,1894,1894,1833,1894,m,fr,14.803982793022577,0.04368626447167689,0,1,"Theuriet, Andr?,",The Abb? Daniel,random | teamblack
nyp.33433079897819,1892,1892,1842,1892,m,us,14.566401321254007,0.04997606736764304,0,1,"Bierce, Ambrose,",The monk and the hangman',random | teamblack
24491,1997,1997,1952,1997,f,us,13.868328204618944,0.26230315323123415,0,1,"Gabaldon, Diana,",Drums of autumn,chifantasy | chirandom
11416,1933,1933,1876,1933,f,uk,13.012752786228953,0.6469751192818702,1,1,"White, Ethel Lina,",Put out the light,chirandom | teamred | chimyst
11364,1932,1932,1909,1932,f,uk,12.052262008304899,0.057533702743240024,0,1,"Evans, Margiad,",Country dance,chirandom | teamred
20350,1958,1958,1912,1958,m,us,15.22002140075332,0.17966685190758053,0,1,"Taylor, Robert Lewis,",The travels of Jaimie McP,chirandom | teamred
22221,1984,1984,1922,1984,f,us,12.042136056219393,0.676293567562649,1,1,"MacLeod, Charlotte,",The Convivial Codfish,teamred | chimyst
uva.x030743237,1880,1880,1838,1880,m,us,15.878532969074973,0.05966022310100394,0,1,"Scudder, Horace Elisha,",Doings of the Bodley fami,random | teamblack
20393,1959,1959,1886,1959,m,us,11.646279453684658,0.9487104058832919,1,1,"Stout, Rex,",Plot it yourself,teamred | chimyst
10250,1926,1926,1884,1926,m,us,11.777724609042,0.6585448149014373,1,1,"Biggers, Earl Derr,",Fifty candles,chimyst | teamred | det100
mdp.39015074379739,1912,1912,1856,1912,m,,13.700052094289171,0.3520341169222889,1,1,"Baum, L. Frank",Aunt Jane's nieces on vac,locdetective | teamred | stew
10526,1937,1937,1866,1937,m,us,13.495206493755008,0.04211108473045719,0,1,"Pseudoman, Akkad,",Zero to eighty,chirandom | teamblack | chiscifi
nyp.33433076073786,1911,1911,1862,1911,f,us,14.17857659654013,0.9675093314971591,1,1,"Wells, Carolyn,",The gold bag,teamred | stew | det100
uc1.$b382267,1891,1891,0,1891,,,13.810804227372255,0.598071249565124,1,1,Anonymous9,Eleven possible cases,locdetmyst | teamblack | stew
uc2.ark+=13960=t3hx1bd9t,1832,1832,1800,1832,f,uk,17.507946115145803,0.2035179685939377,1,1,"Hall, Anna Maria",The buccaneer,locdetmyst | teamred | stew
20618,1965,1965,1911,1965,m,us,11.674070931241888,0.8449830678999964,1,1,"Ball, John Dudley,",In the heat of the night,teamred | chimyst
20750,1967,1967,1895,1967,m,us,12.11010239536413,0.05418245276322343,0,1,"McNichols, Charles Longstreth,",Crazy weather,chirandom | teamred
uc2.ark+=13960=t7pn9035n,1918,1918,1886,1918,m,uk,19.80113745685724,0.02759332836669516,0,1,"Webster, F. A. M.",The hound of Cullan,random | teamred
wu.89004395398,1907,1907,1875,1907,m,us,12.542261395386635,0.967410081223547,1,1,"Futrelle, Jacques,",The thinking machine,teamred | stew | det100
24091,1994,1994,1963,1994,f,us,10.347881405425465,0.380202356750551,0,1,"Patchett, Ann,",Taft,chirandom
mdp.39015031235545,1920,1920,1861,1920,m,uk,13.427813489381641,0.10129896277279292,0,1,"Hewlett, Maurice,",The light heart,random | teamred
uiuo.ark+=13960=t48p6974b,1868,1868,1813,1868,m,uk,16.087251604467006,0.6461890241283361,0,1,"Capes, J. M.",The mosaic-worker's daugh,random | teamblack
21116,1973,1973,1939,1973,m,us,13.754685240165582,0.24987804117782791,0,1,"Malzberg, Barry N,",Herovit's world,chirandom | teamblack | chiscifi
mdp.39015063941135,1907,1907,1850,1907,f,us,15.956637857705239,0.14295564273651915,0,1,"Murfree, Mary Noailles,",The windfall;,random | teamred
10490,1936,1936,1908,1936,f,us,12.841403381137416,0.05704829413414707,0,1,"Gellhorn, Martha,",The trouble I've seen,chirandom | teamred
uva.x001307832,1888,1906,1846,1888,f,us,13.397071304684811,0.7118821823650573,1,1,"Green, Anna Katharine,",Behind closed doors,teamred | stew | det100
23516,1965,1965,1904,1965,f,uk,11.06937172121497,0.6262381921853971,1,1,"Allingham, Margery,",The mind readers,cozy | teamblack | stew | chimyst
10862,1947,1947,1906,1947,m,us,11.827022877636372,0.2660667693682984,0,1,"Myers, John Myers,",The wild Yazoo,chirandom | teamred
10679,1942,1942,1884,1942,m,us,11.726379573831798,0.7505447238567996,1,1,"Merritt, Abraham,",Burn: witch: burn!,stew | teamred | chiscifi | chimyst
10889,1939,1948,1888,1939,m,us,10.174234325368138,0.9394713259262696,1,1,"Chandler, Raymond,",The big sleep,chimyst | hardboiled | teamblack | det100
mdp.39015002753815,1921,1922,1892,1921,f,uk,15.654822206299412,0.15404055709242334,0,1,"Sackville-West, V.",The dragon in shallow wat,random | teamred
10916,1948,1948,1904,1948,m,us,11.972488796113094,0.058701228926097346,0,1,"Skinner, B. F.",Walden Two,chiutopia | chirandom | teamblack
nyp.33433076047608,1921,1921,1870,1921,f,us,12.738418720632438,0.1637430522063846,0,1,"Rice, Alice Caldwell Hega",Quin,random | teamred
nyp.33433074876388,1899,1899,1866,1899,m,uk,13.176686477555322,0.74480777937396,1,1,"Hornung, E. W.",The amateur cracksman,teamred | det100
20194,1955,1955,1912,1955,f,us,14.084388473191284,0.20513430601434457,0,1,"McCarthy, Mary",A charmed life,chirandom | teamred
11349,1931,1931,1886,1931,m,uk,13.7856672984674,0.43553112389415416,0,1,"Williams, Charles,",Many dimensions,chirandom | teamblack
22783,1987,1987,1943,1987,f,us,11.513762158121427,0.17760584804550691,0,1,"Spencer, LaVyrle,",The gamble,chirandom | teamred
uc2.ark+=13960=t0pr7n71q,1909,1909,1846,1909,m,us,15.110441331796805,0.7313637390154658,1,1,"Hawthorne, Julian,",The lock and key library:,teamblack | stew | det100
11836,1947,1947,1897,1947,f,uk,11.477349075802708,0.06978757847377068,0,1,"Robins, Denise,",More than love,chirandom | teamred
20433,1960,1960,1916,1960,m,us,11.182721486935588,0.7622016384402834,1,1,"Vance, Jack,",The man in the cage,teamred | chimyst
uc2.ark+=13960=t5n87gd14,1863,1899,1814,1863,m,uk,14.732660131992414,0.3746214374739429,1,1,"Reade, Charles,",Hard Cash,teamblack | stew | sensation
21739,1980,1980,1932,1980,m,us,11.132892628923111,0.2605084688418347,0,1,"Jakes, John,",The Americans,chirandom | teamblack
10269,1927,1927,1876,1927,f,us,11.606560230966023,0.6438093768215123,1,1,"Glaspell, Susan,",A jury of her peers,chirandom | teamred | chimyst
21088,1973,1973,1916,1973,f,us,11.193435419697948,0.898009975723886,1,1,"Davis, Dorothy Salisbury,",The little brothers,chirandom | teamblack | chimyst
uc2.ark+=13960=t1sf2p11n,1867,1867,1814,1867,f,ge,18.618730436809468,0.1218807156821201,0,1,"M?hlbach, L.",Marie Antoinette and her ,random | teamblack
10531,1937,1937,1902,1937,m,us,10.462682101355872,0.15574755283851674,0,1,"Steinbeck, John,",Of mice and men,chirandom | teamred
20380,1959,1959,0,1959,f,us,11.599268071144577,0.08952335809881151,0,1,"Kirkland, Elithe Hamilton",Love is a wild assault,chirandom | teamblack
nyp.33433022846707,1850,1850,1812,1850,m,us,27.643811132423565,0.3768852716006981,0,1,"Myers, P. Hamilton",The King of the Hurons,random | teamblack
10733,1944,1944,1915,1944,f,us,10.641923482009876,0.8574251775944405,1,1,"Brackett, Leigh,",No good from a corpse,chirandom | teamred | chimyst
4605,1921,1921,1888,1921,f,us,15.375917442506148,0.19079056969757413,0,1,"Putnam, Nina Wilcox,",West Broadway,chirandom | teamred
uc2.ark+=13960=t3pv6dr2h,1911,1911,1880,1911,m,us,13.38574900135049,0.6953042172582989,0,1,"Pearson, Edmund Lester,",The librarian at play,random | teamblack
4611,1921,1921,1880,1921,f,us,12.035407062132823,0.21367935830286938,0,1,"Sawyer, Ruth,",The silver sixpence,chirandom | teamred
nyp.33433074970710,1920,1920,1890,1920,f,uk,12.75417390767824,0.971401020591268,1,1,"Christie, Agatha,",The mysterious affair at ,cozy | teamblack | det100
uc2.ark+=13960=t5n874v29,1885,1886,1853,1885,f,us,15.493860001360657,0.8092854976122085,1,1,"Lynch, Lawrence L.","Dangerous ground, or, The",teamblack | det100
uc1.32106006960592,1866,1905,1832,1866,m,fr,15.327682455884327,0.6510853163890091,1,1,"Gaboriau, Emile,",The widow Lerouge,teamred | det100
23474,1953,1953,1900,1953,f,uk,13.028589674640996,0.05092359362153754,0,1,"Goudge, Elizabeth,",The heart of the family,chirandom | teamred
nyp.33433075818801,1875,1876,1821,1875,m,fr,19.833195860652435,0.6481105134509558,1,1,"Du Boisgobey, Fortun?,",The golden tress,teamred | det100
njp.32101063580268,1886,1900,1859,1886,m,uk,16.51059125999177,0.8863596775318828,1,1,"Hume, Fergus,",The mystery of a hansom c,teamred | det100
njp.32101031806159,1875,1875,1819,1875,m,us,15.733078851317691,0.5325478967997088,1,1,"Pinkerton, Allan,",Claude Melnotte as a dete,locdetmyst | teamblack
10690,1942,1942,1876,1942,f,us,12.453874992994349,0.9733854215065207,1,1,"Rinehart, Mary Roberts,",The door,chirandom | teamred | chimyst
23514,1964,1964,1905,1964,m,uk,13.948264205411727,0.13978754950658248,0,1,"Snow, C. P.",Corridors of power,chirandom | teamblack
20592,1964,1964,1932,1964,m,us,12.239945753894226,0.3107955038282574,0,1,"Kim, Richard E.",The martyred,chirandom | teamred
nyp.33433075737753,1890,1891,1848,1890,m,ah,14.124968258189693,0.182155306975367,0,1,"Franzos, Karl Emil,",Judith Trachtenberg,random | teamred
25429,1993,1993,1964,1993,m,us,9.951087461713675,0.2176019641555111,0,1,"Watkins, Paul,",The promise of light,chirandom
nyp.33433074879481,1914,1914,1863,1914,m,uk,12.878168567654711,0.16139271892541,0,1,"Locke, William John,",The fortunate youth,random | teamblack
4599,1921,1921,1894,1921,m,us,12.760508301556836,0.01709700989950681,0,1,"Nathan, Robert,",Autumn,chirandom | teamred
21114,1973,1973,1916,1973,m,us,11.243890946045802,0.7513639518798122,1,1,"MacDonald, John D.",The scarlet ruse,chirandom | teamred | chimyst
23703,1991,1991,1916,1991,m,us,15.252185658430278,0.13589705490119378,0,1,"Murray, Albert,",The spyglass tree,chirandom
uva.x000459624,1897,1897,1840,1897,m,uk,14.793695858628631,0.3004880770396536,0,1,"Hardy, Thomas,",The well-beloved;,random | teamblack
20544,1963,1963,1922,1963,m,us,30.236592692962834,0.06878660285991654,0,1,"Kerouac, Jack,",Visions of Gerard,chirandom | teamblack
20008,1951,1951,1916,1951,f,us,10.815627073430482,0.6490711131556317,1,1,"Davis, Dorothy Salisbury,",A gentle murderer,teamblack | chimyst
11564,1938,1938,1880,1938,m,uk,12.118376278389531,0.9566405674165991,1,1,"Connington, J. J.",Murder will speak,teamblack | stew | chimyst
uc1.b3326097,1840,1840,1788,1840,m,uk,18.943189630885243,0.22556452344082445,0,1,"Hook, Theodore Edward,","Cousin Geoffrey, the old ",random | teamred
11404,1933,1933,1866,1933,m,uk,12.431974357080557,0.7555614674831567,1,1,"Oppenheim, E. Phillips,",Murder at Monte Carlo,teamred | chimyst
11809,1946,1946,1905,1946,m,uk,12.953975460945745,0.07797338487499461,0,1,"Koestler, Arthur,",Thieves in the night,chirandom | teamblack
uc2.ark+=13960=t5x63bm4w,1913,1913,1872,1913,f,us,15.349552151741605,0.0777793540942286,0,1,"Daviess, Maria Thompson.",The tinder-box,random | teamblack
23139,1989,1989,1936,1989,m,us,12.035972000179179,0.2108073849405366,0,1,"McMurtry, Larry,",Some can whistle,chirandom | teamblack
25548,1995,1995,1936,1995,m,us,11.867462762590513,0.7539250822523194,1,1,"Burke, James Lee,",Dixie City jam,chimyst
11606,1939,1939,1862,1939,m,uk,14.045421814565762,0.9885981961189975,1,1,"Freeman, R. Austin,",The stoneware monkey,teamred | chimyst
RedThumbMark,1907,1907,1862,1907,m,uk,15.628844022105875,0.9909995561856658,1,1,"Freeman, R. Austin,",The Red Thumb Mark,teamblack | det100
11148,1925,1925,1888,1925,m,uk,14.47864190969501,0.9303040050530401,1,1,"Knox, Ronald Arbuthnott,",The viaduct murder,teamred | chimyst
uc2.ark+=13960=t0ms3qz4m,1829,1829,1803,1829,m,uk,20.079453588959474,0.21626748258429582,0,1,"Lytton, Edward Bulwer Lyt",Devereux,random | teamred
11113,1923,1923,1866,1923,m,uk,12.980237321505955,0.8699498397546174,1,1,"Oppenheim, E. Phillips,",Michael's evil deeds,teamred | chimyst
11675,1941,1941,1890,1941,f,uk,11.379108481283465,0.776071995171285,1,1,"Christie, Agatha,",N or M?,cozy | chirandom | teamblack | chimyst
4449,1920,1920,1843,1920,m,us,14.375832019705582,0.21504814708033754,0,1,"James, Henry,",Master Eustace,chirandom | teamblack
uc2.ark+=13960=t5db7zr5v,1879,1879,1839,1879,m,us,14.642201804934656,0.19534020798796567,0,1,"Adams, Robert Chamblet,","On board the ""Rocket""",random | teamblack
10543,1938,1938,1906,1938,m,us,12.285183022888653,0.9823388956614157,1,1,"Carr, John Dickson",To wake the dead,teamblack | det100
20866,1970,1970,1926,1970,m,us,12.029526297633108,0.04026785664904164,0,1,"Anderson, Poul,",Tau zero,chirandom | teamblack | chiscifi
24382,1996,1996,1937,1996,f,us,15.41490104354999,0.14891507324826608,0,1,"Oates, Joyce Carol,",We were the Mulvaneys,chirandom
11339,1931,1931,1883,1931,m,uk,12.648973652570843,0.9554885626205007,1,1,"Rohmer, Sax,",Daughter of Fu Manchu,teamblack | stew | chimyst
21211,1974,1974,1911,1974,m,us,10.508911732798378,0.8974569730418024,1,1,"Platt, Kin,",The giant kill,teamred | stew | chimyst
uva.x001752097,1910,1910,1868,1910,m,fr,14.610382325507382,0.9732942799216451,1,1,"Leroux, Gaston,",The mystery of the yellow,teamred | det100
20899,1970,1970,1908,1970,m,us,11.64462728949048,0.22444235439721125,0,1,"L'Amour, Louis,",Galloway,chirandom | teamred
10621,1940,1940,1906,1940,m,us,12.174863800097866,0.9756347458887918,1,1,"Rawson, Clayton,",The headless lady,teamred | stew | chimyst
22678,1987,1987,1944,1987,m,us,11.212621609849853,0.6958742915525599,1,1,"Friedman, Kinky,",A case of Lone Star,chirandom | teamred | chimyst
20709,1966,1966,1937,1966,m,us,15.240382912846714,0.40996720816177257,0,1,"Pynchon, Thomas,",The crying of lot 49,chirandom | teamblack
21417,1977,1977,1947,1977,m,us,12.072380429718482,0.026354381518416247,0,1,"Donaldson, Stephen R,",The power that preserves,teamblack | stew | chirandom | chifantasy | chiscifi
uc1.b3324220,1859,1859,1826,1859,m,us,15.370149811730737,0.3307330714717847,0,1,"De Forest, John William,",Seacliff;,random | teamred
uc2.ark+=13960=t6251m863,1871,1871,1838,1871,m,uk,14.183747045074622,0.23862794562837364,0,1,"Farjeon, B. L.",Joshua Marvel,random | teamblack
4529,1921,1921,1889,1921,m,us,13.845910968822292,0.027695884793900893,0,1,"Byrne, Donn,",Messer Marco Polo,chifantasy | chirandom | teamblack
11073,1942,1942,1897,1942,m,uk,12.622539165910672,0.14034483518116397,0,1,"Knight, Eric,",Sam Small flies again (Th,chirandom | teamblack
mdp.39015063096088,1922,1922,1892,1922,f,us,15.286537304182495,0.02773353047193901,0,1,"Squier, Emma-Lindsay,",The wild heart,random | teamred
dul1.ark+=13960=t1qf9gh9b,1863,1863,1835,1863,f,uk,15.558321626652496,0.5506365853867728,1,1,"Braddon, M. E.",Aurora Floyd,teamblack | stew | sensation
23764,1992,1992,1951,1992,m,us,12.261014372567036,0.189147757928762,0,1,"Card, Orson Scott,",Lost boys,chirandom
11098,1950,1950,1919,1950,f,uk,14.770426442953555,0.035379541386147594,1,1,"Lessing, Doris,",The grass is singing,chirandom | teamred | stew | chimyst
11932,1950,1950,1878,1950,f,uk,11.72911633166814,0.8169848373172828,1,1,"Wentworth, Patricia,",Through the wall,chirandom | teamblack | chimyst
20522,1962,1962,1921,1962,m,us,13.858878169908598,0.9029333482585432,1,1,"Shannon, Dell,",Extra kill,teamblack | chimyst
uc2.ark+=13960=t3707xt9q,1908,1908,1876,1908,f,us,13.502920178028074,0.930291581465562,1,1,"Rinehart, Mary Roberts,",The circular staircase,locdetmyst | teamred | det100
20734,1967,1967,1916,1967,m,us,12.40897577168621,0.7293516888201353,1,1,"Ellin, Stanley,",House of cards,teamblack | chimyst
24552,1997,1997,1932,1997,m,us,11.164866775600055,0.5897169569912606,1,1,"Parker, Robert B.",Night passage,chimyst
20720,1966,1966,1933,1966,m,us,13.679570823314997,0.781609856575544,1,1,"Westlake, Donald E,",The busy body,teamred | stew | chimyst
24208,1995,1995,1925,1995,m,us,12.51214012538135,0.684858513079092,1,1,"Leonard, Elmore,",Riding the rap,chimyst
22692,1987,1987,1953,1987,m,us,11.846379524020861,0.6230873260666234,1,1,"Hiaasen, Carl,",Double whammy,chirandom | teamred | chimyst
21589,1978,1978,1924,1978,m,us,11.748684079253685,0.6735659521981807,1,1,"Wilcox, Collin,",The watcher,teamred | stew | chimyst
11462,1935,1935,1902,1935,f,uk,14.480148873729584,0.5640364503504273,0,1,"Heyer, Georgette,",Regency buck,chirandom | teamblack
22241,1984,1984,1944,1984,f,us,11.05636791772638,0.8680968387720499,1,1,"Muller, Marcia,",Games to keep the dark aw,teamred | stew | chimyst
25506,1994,1994,1952,1994,m,us,9.882688242152069,0.5603485054835021,1,1,"Mosley, Walter,",Black Betty,chimyst
20481,1962,1962,1914,1962,m,us,9.986243661212397,0.15002185959983838,0,1,"Burroughs, William S.",The ticket that exploded,chirandom | teamblack
mdp.39015048759016,1913,1913,1863,1913,f,uk,12.988571029029497,0.23880400437751942,0,1,"Sinclair, May.",The combined maze,random | teamred
uc2.ark+=13960=t7hq41f5s,1909,1909,1858,1909,m,uk,13.505874345753341,0.4149026471288203,0,1,"Ayscough, John,",A Roman tragedy and other,random | teamblack
nnc1.1002365251,1841,1841,1800,1841,f,uk,32.68772665356216,0.14310742776517238,0,1,"Sinclair, Catherine,",Modern flirtations,random | teamblack
uiuo.ark+=13960=t15m6kw75,1828,1828,1788,1828,m,uk,19.00749379255965,0.5529162386101667,1,1,"Gaspey, Thomas,",History of George Godfrey,teamblack | newgate
24183,1995,1995,1940,1995,f,us,11.30113258511869,0.9411306527180533,1,1,"Grafton, Sue,",L is for lawless,chimyst
21560,1978,1978,1937,1978,m,us,11.985002562962105,0.8982769297127803,1,1,"Mcdonald, Gregory,",Fletch's fortune,teamred | chimyst
20642,1965,1965,1916,1965,m,us,11.485153872623817,0.6222064719240017,1,1,"MacDonald, John D.",A deadly shade of gold,chirandom | teamred | chimyst
24342,1996,1996,1952,1996,f,us,10.964507540007776,0.741885684851904,1,1,"Kellerman, Faye,",Prayers for the dead,chimyst
njp.32101067641678,1878,1878,1812,1878,m,ge,13.881683189988054,0.10152099801882986,0,1,"Auerbach, Berthold,",Landolin,random | teamred
